id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21116057,"Québec city, new studio all included, 10th floor",152290973,J-F,,Montcalm,46.80407,-71.22908,Entire home/apt,70,1,0,,,1,0
21124758,Côte de la montagne,152372871,Jacques-Olivier,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81374,-71.2032,Entire home/apt,100,4,0,,,1,55
21137219,Condo neuf et contemporain à Québec City:),152487051,Elyes,,Cité Universitaire,46.77924,-71.30536,Entire home/apt,66,15,0,,,1,0
21138661,Le Vieux Downton,8437741,Frederick,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81571,-71.20852,Entire home/apt,75,28,119,2019-02-23,6.88,13,286
21140271,Grand Condo de 4 chambres,152024024,Patrick,,Quartier 4-5,46.86342,-71.28233,Entire home/apt,79,2,1,2018-08-01,0.14,1,0
21147507,Classic 3 bedrooms in Downtown,68066405,Stephanie,,Montcalm,46.80029,-71.22463,Entire home/apt,66,32,2,2019-02-11,0.80,11,184
21148462,Classic One bedroom in Downtown,68066405,Stephanie,,Montcalm,46.80225,-71.22426,Entire home/apt,40,32,1,2018-04-26,0.09,11,184
21148542,Cozy room at first floor in a new condo!,74405966,Frederic,,Saint-Émile,46.87216,-71.33798,Private room,90,2,0,,,1,0
21159724,Charmant petit cocon en plein centre ville!,123503822,Angélique,,Saint-Roch,46.81234,-71.22749,Private room,40,1,24,2018-05-26,1.56,1,0
21170759,New England style home close to everything,57437320,Gregory,,Saint-Louis,46.7646,-71.28907,Entire home/apt,150,2,6,2018-01-26,0.40,1,0
21173523,Modern and central private room in Limoilou,14515609,Eddy,,Vieux-Limoilou,46.82385,-71.22392,Private room,29,1,37,2019-02-20,2.15,2,24
21175431,Condo neuf à Lebourgneuf,127085778,Max,,Neufchâtel-Est/Lebourgneuf,46.84359,-71.31035,Entire home/apt,66,1,32,2019-03-02,1.97,2,239
21175870,Confort et tranquilité à 10 min du centre ville,152888472,Baptiste,,Saint-Sauveur,46.81089,-71.24077,Private room,50,2,24,2019-02-17,2.82,1,25
21188055,Luxury yacht downtown Quebec City,1312217,Etienne,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81896,-71.20219,Entire home/apt,459,1,4,2018-10-07,0.49,2,295
21188946,An apartment in the heart of town (parking incl.),69221634,Oli,,Saint-Roch,46.81307,-71.21934,Entire home/apt,110,2,104,2019-02-18,6.39,8,0
21189151,A four bedrooms apartment in the heart of town,69221634,Oli,,Saint-Jean-Baptiste,46.81201,-71.22074,Entire home/apt,200,2,84,2019-02-17,5.85,8,0
21190309,Chambre accueillante et environnement convivial,118348155,Marlyne,,Quartier 4-3,46.89128,-71.25859,Private room,55,1,1,2017-10-04,0.06,1,83
21190581,Je me souviens Ste-Foy/Cap-Rouge- Entire Basement,109029961,Cedric,,Pointe-de-Sainte-Foy,46.76586,-71.31694,Entire home/apt,55,1,40,2019-02-23,2.33,3,47
21190654,Bel Appartement Studio proche à l'Aquarium,23034306,Ario,,Saint-Louis,46.7578,-71.29031,Entire home/apt,44,30,0,,,1,0
